25663-泛互联网行业解决方案专家（上海）,position_detail.php?id=46043&keywords=&tid=0&lid=0,,1,上海,2018-11-30
29912-微视审核团队管理岗,position_detail.php?id=46044&keywords=&tid=0&lid=0,,1,深圳,2018-11-30
29912-短视频社区高级后台开发工程师,position_detail.php?id=46045&keywords=&tid=0&lid=0,,1,深圳,2018-11-30
CB-福利经理（深圳）,position_detail.php?id=46069&keywords=&tid=0&lid=0,,1,深圳,2018-11-30
25926-高级客户端游戏安全工程师,position_detail.php?id=46070&keywords=&tid=0&lid=0,,1,深圳,2018-11-30
17759-腾讯视频商业分析师（北京）,position_detail.php?id=46059&keywords=&tid=0&lid=0,,1,北京,2018-11-30
PCG10-浏览器信息流推荐策略产品经理,position_detail.php?id=46061&keywords=&tid=0&lid=0,,1,深圳,2018-11-30
CSIG15-高级动效设计师（深圳）,position_detail.php?id=46063&keywords=&tid=0&lid=0,,1,深圳,2018-11-30
25663-泛互联网业务架构师（深圳）,position_detail.php?id=46052&keywords=&tid=0&lid=0,,1,深圳,2018-11-30
25664-政务行业高级架构师（广州、深圳）,position_detail.php?id=46055&keywords=&tid=0&lid=0,,2,深圳,2018-11-30
PCG14-高级品质工程师（深圳）,position_detail.php?id=46056&keywords=&tid=0&lid=0,,1,深圳,2018-11-30
PCG12-后台策略安全工程师,position_detail.php?id=46057&keywords=&tid=0&lid=0,,3,深圳,2018-11-30
23672-腾讯娱乐节目制片人（北京）,position_detail.php?id=46058&keywords=&tid=0&lid=0,,2,北京,2018-11-30
29303-大数据及人工智能高级前端开发工程师（深圳）,position_detail.php?id=46079&keywords=&tid=0&lid=0,,1,深圳,2018-11-30
CSIG18-高级业务运维工程师（深圳）,position_detail.php?id=46068&keywords=&tid=0&lid=0,,1,深圳,2018-11-30
27192-互娱市场与用户研究经理（上海）,position_detail.php?id=46071&keywords=&tid=0&lid=0,,1,上海,2018-11-30
29912-游戏内容制作,position_detail.php?id=46072&keywords=&tid=0&lid=0,,1,深圳,2018-11-30
21528-媒介传播经理（海外/财经媒体方向）,position_detail.php?id=46073&keywords=&tid=0&lid=0,,1,北京,2018-11-30
21527-会计师,position_detail.php?id=46074&keywords=&tid=0&lid=0,,1,北京,2018-11-30
